#1
double csv(8751,9)
# time	TSet	fanRet	fanSup	bypass	converged	TLiving	TMin	QHea
0	283.15	0	0	0	1	293.15	289.15	0.0030110295616
3600	292.981101652	0.0233512597641	0.0233512597641	0	1	292.693519864	289.15	0.00201139895394
7200	292.780383983	0.0233527484954	0.0233527484954	0	1	292.196387484	289.15	0.00211716073831
10800	292.589967621	0.0233513637213	0.0233513637213	0	1	291.889689248	289.15	0.00219379997527
14400	292.418630808	0.0233515625101	0.0233515625101	0	1	291.642422929	289.15	0.00228776945575
18000	292.217414483	0.0233504025032	0.0233504025032	0	1	291.428031607	289.15	0.00239086667286
21600	324.273290441	0.0233422124456	0.0233422124456	0	1	291.23556673	289.15	29999.9975
25200	316.055406854	0.0233431787244	0.0233431787244	0	1	294.375073203	294.15	0.000544804078496
28800	313.906181978	0.023341954595	0.023341954595	0	1	294.009622567	294.15	1860.9909388
32400	295.025513385	0.0233535595249	0.0233535595249	0	1	293.934633826	289.15	0.000549060993717
36000	293.026954638	0.023351691995	0.023351691995	0	1	292.4308039	289.15	0.0011064807981
39600	292.470868906	0.0233521160166	0.0233521160166	0	1	291.895748012	289.15	0.00179839439839
43200	292.262926728	0.0233520722713	0.0233520722713	0	1	291.616381281	289.15	0.00208133838928
46800	292.113248197	0.02346834529	0.02346834529	0	1	291.415406394	289.15	0.00224215584618
50400	291.972041347	0.0233516919755	0.0233516919755	0	1	291.233781589	289.15	0.00237359907189
54000	291.826619402	0.023351117558	0.023351117558	0	1	291.048594602	289.15	0.00249946659404
57600	291.68367375	0.0233505394919	0.0233505394919	0	1	290.853915345	289.15	0.00262414950482
61200	330.103327458	0.0233444294413	0.0233444294413	0	1	290.684010286	289.15	29999.9972777
64800	319.325077674	0.0233437314902	0.0233437314902	0	1	294.48569686	294.15	0.000544804078667
68400	316.878701594	0.023343720437	0.023343720437	0	1	294.021515791	294.15	1459.11235245
72000	316.048441723	0.0233596031387	0.0233596031387	0	1	293.9265127	294.15	1497.26044369
75600	315.421195578	0.0233433574778	0.0233433574778	0	1	293.924494719	294.15	1948.54731074
79200	315.00476431	0.0233419548808	0.0233419548808	0	1	293.922424532	294.15	1554.52858754
82800	295.025752879	0.0236900672446	0.0236900672446	0	1	293.922689654	289.15	0.000598749621202
86400	292.796672498	0.0233491858903	0.0233491858903	0	1	292.211179501	289.15	0.00130180137443
90000	292.107119164	0.023348333772	0.023348333772	0	1	291.573869858	289.15	0.00211896941792
93600	291.85806081	0.0233467689349	0.0233467689349	0	1	291.184298193	289.15	0.00246399716832
97200	291.619479246	0.0233480727591	0.0233480727591	0	1	290.896234256	289.15	0.00266904674893
100800	291.41522536	0.0233475621607	0.0233475621607	0	1	290.658692573	289.15	0.00279501205018
104400	291.228245389	0.0233478340112	0.0233478340112	0	1	290.447736687	289.15	0.00288781108412
108000	335.395574722	0.0233417478414	0.0233417478414	0	1	290.255836157	289.15	29999.9970273
111600	323.035002059	0.0233419370144	0.0233419370144	0	1	294.63332804	294.15	0.000544804079044
115200	320.380617323	0.0233419547455	0.0233419547455	0	1	294.113343639	294.15	2016.2825305
118800	318.325898043	0.0233419751405	0.0233419751405	0	1	294.065032403	294.15	1675.92789797
122400	316.920711376	0.0233421555186	0.0233421555186	0	1	294.01678753	294.15	2424.60316325
126000	315.912829401	0.0233422326256	0.0233422326256	0	1	293.989143403	294.15	1557.07294562
129600	315.269203929	0.0233422240113	0.0233422240113	0	1	293.963546882	294.15	2663.99853256
133200	314.890045087	0.023342317683	0.023342317683	0	1	293.945695144	294.15	2098.3800657
136800	314.736727629	0.023342249126	0.023342249126	0	1	293.929622207	294.15	2876.0989362
140400	314.713243543	0.0233421958047	0.0233421958047	0	1	293.919264195	294.15	2351.36754793
144000	314.671089377	0.0233421810001	0.0233421810001	0	1	293.905226841	294.15	2255.7333666
147600	314.605432081	0.0233436436324	0.0233436436324	0	1	293.898339687	294.15	1571.94398523
151200	314.566940089	0.0233419044228	0.0233419044228	0	1	293.893537277	294.15	1774.01077655
154800	314.546993983	0.023341919389	0.023341919389	0	1	293.889259339	294.15	3081.45188535
158400	314.559954903	0.0233417734671	0.0233417734671	0	1	293.889935292	294.15	2286.52618068
162000	314.622129702	0.0233416934806	0.0233416934806	0	1	293.89015589	294.15	2387.74692775
165600	314.731974685	0.0233404641868	0.0233404641868	0	1	293.897075072	294.15	1676.04219479
169200	295.014486664	0.0233467054061	0.0233467054061	0	1	293.903408093	289.15	0.000678357866857
172800	292.755430841	0.0233473832019	0.0233473832019	0	1	292.218671603	289.15	0.00152747603864
176400	292.021864543	0.0233468409775	0.0233468409775	0	1	291.55919607	289.15	0.0023942655848
180000	291.645979129	0.0233482271448	0.0233482271448	0	1	291.147264727	289.15	0.00272037489158
183600	291.373612077	0.0233469617135	0.0233469617135	0	1	290.835616874	289.15	0.00286630497841
187200	291.144964758	0.0233466836335	0.0233466836335	0	1	290.577656192	289.15	0.00297659891419
190800	290.935645271	0.0233487200695	0.0233487200695	0	1	290.352786914	289.15	0.00300874261302
194400	337.423458823	0.0233413952569	0.0233413952569	0	1	290.148312374	289.15	29999.9969912
198000	324.400054551	0.0233416570969	0.0233416570969	0	1	294.746739255	294.15	0.000546444680244
201600	321.528133844	0.0233354454447	0.0233354454447	0	1	294.203291003	294.15	1384.89580026
205200	319.285374624	0.0233418811014	0.0233418811014	0	1	294.155454265	294.15	1919.01415589
208800	317.796009181	0.0233524670259	0.0233524670259	0	1	294.114080138	294.15	1965.55196793
212400	316.71451428	0.0233422905676	0.0233422905676	0	1	294.083032424	294.15	2293.31002624
216000	315.887808233	0.0233421182542	0.0233421182542	0	1	294.055459431	294.15	1189.23708979
219600	315.313595392	0.0233423933319	0.0233423933319	0	1	294.03117102	294.15	2747.57749497
223200	314.995413064	0.0233423155852	0.0233423155852	0	1	294.018078752	294.15	2244.30890355
226800	314.881000962	0.0233422334271	0.0233422334271	0	1	294.000182297	294.15	2405.114122
230400	314.748923676	0.0233420831886	0.0233420831886	0	1	293.979432504	294.15	2053.1469053
234000	314.590210571	0.0233420259434	0.0233420259434	0	1	293.966777099	294.15	1981.29716063
237600	314.476880007	0.0233419673464	0.0233419673464	0	1	293.95420578	294.15	2808.16384969
241200	314.405751552	0.0233418621891	0.0233418621891	0	1	293.94828785	294.15	1422.47540057
244800	314.383463301	0.0233416752765	0.0233416752765	0	1	293.941241028	294.15	2699.1577286
248400	314.377279962	0.023341760914	0.023341760914	0	1	293.939718374	294.15	2684.77921724
252000	314.417199626	0.0233400857016	0.0233400857016	0	1	293.940354211	294.15	2239.80166132
255600	294.997737171	0.0233488625921	0.0233488625921	0	1	293.940392564	289.15	0.000597418708625
259200	292.708248126	0.023349950447	0.023349950447	0	1	292.237584857	289.15	0.00165164139702
262800	291.959483935	0.0233483349696	0.0233483349696	0	1	291.600794299	289.15	0.00246120798459
266400	291.574007558	0.0233485200687	0.0233485200687	0	1	291.189138007	289.15	0.00276070221074
270000	291.294008294	0.0233482986679	0.0233482986679	0	1	290.872156761	289.15	0.00290252821641
273600	291.055153525	0.0233484841399	0.0233484841399	0	1	290.604637198	289.15	0.00298700977749
277200	290.835987828	0.0233472037566	0.0233472037566	0	1	290.365511528	289.15	0.00300876179664
280800	337.622043847	0.0233405545205	0.0233405545205	0	1	290.146361485	289.15	29999.9969912
284400	324.585023735	0.023340705028	0.023340705028	0	1	294.761184858	294.15	0.000563128174592
288000	321.430428797	0.0233396077155	0.0233396077155	0	1	294.20333866	294.15	1021.8329158
291600	295.458070408	0.0233479640263	0.0233479640263	0	1	294.156232338	289.15	0.000622828719813
295200	292.487939524	0.0238359082314	0.0238359082314	0	1	292.076786071	289.15	0.00166142709163
298800	291.648287403	0.0240099147646	0.0240099147646	0	1	291.387625673	289.15	0.00256762765745
