,T0,error
0,273.15,0.20249982178211212
1,283.15,0.014869075268507004
2,293.15,0.02318047173321247
3,303.15,0.021293774247169495
4,313.15,0.015895014628767967
5,323.15,0.009799670428037643
6,333.15,0.004445536527782679
7,343.15,0.0006720509263686836
8,353.15,-0.0010713008232414722
9,363.15,-0.0006721850368194282
10,373.15,0.0030460816342383623
11,383.15,-0.006368428934365511
12,393.15,-0.007357397582381964
13,403.15,-0.004232627805322409
14,413.15,-0.0007473374134860933
15,423.15,0.0016043129144236445
16,433.15,0.00261376379057765
17,443.15,0.0025709972251206636
18,453.15,0.001873027067631483
19,463.15,0.0008689435198903084
20,473.15,-0.00018418660329189152
21,483.15,-0.0011202795431017876
22,493.15,-0.0018478246638551354
23,503.15,-0.0023305132053792477
24,513.15,-0.0025696619413793087
25,523.15,-0.0025899596512317657
26,533.15,-0.002428716514259577
27,543.15,-0.002128257881850004
28,553.15,-0.0017308947863057256
29,563.15,-0.0012758810771629214
30,573.15,-0.0007978006033226848
31,583.15,-0.0003259266959503293
32,593.15,0.00011581222497625276
33,603.15,0.0005085257580503821
34,613.15,0.0008378961938433349
35,623.15,0.0010936693288385868
36,633.15,0.0012691662413999438
37,643.15,0.0013608456356450915
38,653.15,0.0013679243857041001
39,663.15,0.0012920511653646827
40,673.15,0.0011370223946869373
41,683.15,0.0009085251367650926
42,693.15,0.0006138983881101012
43,703.15,0.000261898705502972
44,713.15,-0.00013753483653999865
45,723.15,-0.0005735221202485263
46,733.15,-0.0010344921611249447
47,743.15,-0.001508442685008049
48,753.15,-0.00198320671916008
49,763.15,-0.0024467252660542727
50,773.15,-0.0028873204719275236
51,783.15,-0.0032939680386334658
52,793.15,-0.003656560555100441
53,803.15,-0.003966160584241152
54,813.15,-0.0042152367532253265
55,823.15,-0.004397878423333168
56,833.15,-0.004509984981268644
57,843.15,-0.004549423232674599
58,853.15,-0.004516152665019035
59,863.15,-0.004412306938320398
