#1
#C1: time (Europe/Berlin)[s] from 2023-04-18T00:00:00+0200 to 2023-04-28T00:00:00+0200
#C2: outside temperature
double ROF_outside_temp_2023(961,2)
0	8.1
900	8.1
1800		7.95
2700		7.7
3600		7.533333333333334
4500		7.333333333333333
5400		7.2
6300		7.066666666666666
7200		7.0
8100		6.933333333333334
9000		6.900000000000001
9900		6.8
10800		6.8
11700		6.8
12600		6.8
13500		6.8
14400		6.766666666666667
15300		6.8
16200		6.900000000000001
17100		6.833333333333333
18000		6.666666666666667
18900		6.633333333333333
19800		6.7
20700		6.733333333333333
21600		6.8
22500		6.8
23400		6.8
24300		6.8
25200		6.8
26100		6.666666666666667
27000		6.633333333333333
27900		6.7
28800		6.833333333333333
29700		6.900000000000001
30600		7.066666666666666
31500		7.3999999999999995
32400		7.7
33300		8.066666666666666
34200		8.4
35100		8.666666666666666
36000		8.9
36900		9.275
37800		9.45
38700		9.566666666666668
39600		9.766666666666667
40500		9.866666666666667
41400		10.133333333333335
42300		10.666666666666666
43200		11.166666666666666
44100		11.5
45000		11.799999999999999
45900		12.233333333333333
46800		12.633333333333335
47700		12.933333333333332
48600		13.266666666666666
49500		13.5
50400		13.6
51300		13.766666666666666
52200		13.833333333333334
53100		13.966666666666667
54000		14.0
54900		13.933333333333332
55800		13.966666666666667
56700		13.933333333333332
57600		13.9
58500		13.966666666666667
59400		14.033333333333333
60300		14.166666666666666
61200		14.199999999999998
62100		14.166666666666666
63000		14.066666666666668
63900		13.933333333333332
64800		13.866666666666667
65700		13.800000000000002
66600		13.699999999999998
67500		13.566666666666668
68400		13.433333333333332
69300		13.266666666666666
70200		13.066666666666668
71100		12.86
72000		12.666666666666666
72900		12.45
73800		12.200000000000001
74700		12.0
75600		11.800000000000002
76500		11.466666666666669
77400		11.033333333333333
78300		10.733333333333334
79200		10.4
80100		10.166666666666666
81000		9.833333333333334
81900		9.566666666666666
82800		9.36
83700		9.133333333333333
84600		8.9
85500		8.666666666666666
86400		8.4
87300		8.200000000000001
88200		7.966666666666666
89100		7.766666666666667
90000		7.5
90900		7.400000000000001
91800		7.366666666666667
92700		7.233333333333333
93600		7.133333333333333
94500		7.099999999999999
95400		7.2
96300		7.2
97200		7.166666666666667
98100		7.066666666666666
99000		6.8999999999999995
99900		6.633333333333333
100800		6.466666666666666
101700		6.333333333333333
102600		6.166666666666667
103500		5.966666666666666
104400		5.9
105300		5.75
106200		5.566666666666666
107100		5.45
108000		5.3
108900		5.15
109800		5.0
110700		4.9
111600		4.9
112500		4.9
113400		4.966666666666667
114300		5.433333333333334
115200		5.533333333333334
116100		5.633333333333333
117000		5.833333333333333
117900		6.033333333333334
118800		6.3
119700		6.666666666666667
120600		7.033333333333334
121500		7.466666666666666
122400		7.966666666666666
123300		8.4
124200		8.833333333333334
125100		9.266666666666666
126000		9.6
126900		10.0
127800		10.299999999999999
128700		10.733333333333334
129600		11.066666666666668
130500		11.4
131400		11.933333333333332
132300		12.266666666666666
133200		12.300000000000002
134100		12.666666666666666
135000		12.966666666666667
135900		12.9
136800		12.933333333333332
137700		12.966666666666667
138600		13.0
139500		12.933333333333332
140400		12.700000000000001
141300		12.699999999999998
142200		13.033333333333331
143100		13.3
144000		13.266666666666666
144900		12.975
145800		12.8
146700		12.6
147600		12.300000000000002
148500		11.9
149400		11.133333333333335
150300		9.933333333333335
151200		9.033333333333333
152100		8.433333333333334
153000		8.133333333333333
153900		7.900000000000001
154800		7.866666666666667
155700		7.766666666666667
156600		7.533333333333334
157500		7.5
158400		7.400000000000001
159300		7.2
160200		7.0
161100		7.0
162000		7.099999999999999
162900		7.2
163800		7.233333333333333
164700		7.266666666666667
165600		7.2
166500		7.266666666666667
167400		7.233333333333333
168300		7.2
169200		7.2
170100		7.2
171000		7.2
171900		7.166666666666667
172800		7.099999999999999
173700		7.099999999999999
174600		7.0
175500		6.966666666666666
176400		7.0
177300		6.975
178200		6.9
179100		6.900000000000001
180000		6.866666666666667
180900		6.866666666666667
181800		6.8
182700		6.8
183600		6.8
184500		6.8
185400		6.8
186300		6.7
187200		6.666666666666667
188100		6.599999999999999
189000		6.599999999999999
189900		6.666666666666667
190800		6.7
191700		6.733333333333333
192600		6.8
193500		6.833333333333333
194400		6.900000000000001
195300		6.900000000000001
196200		6.933333333333334
197100		7.0
198000		7.0
198900		7.0
199800		7.099999999999999
200700		7.2
201600		7.3
202500		7.366666666666667
203400		7.533333333333334
204300		7.633333333333333
205200		7.766666666666667
206100		7.8999999999999995
207000		8.2
207900		8.433333333333335
208800		8.733333333333333
209700		8.966666666666667
210600		9.149999999999999
211500		9.375
212400		9.45
213300		9.233333333333333
214200		9.066666666666666
215100		8.966666666666667
216000		9.1
216900		9.533333333333333
217800		10.1
218700		10.4
219600		10.866666666666667
220500		11.133333333333333
221400		11.266666666666666
222300		11.566666666666668
223200		11.799999999999999
224100		12.1
225000		12.333333333333334
225900		12.633333333333333
226800		12.9
227700		13.166666666666666
228600		13.766666666666666
229500		14.033333333333333
230400		14.199999999999998
231300		14.300000000000002
232200		14.5
233100		14.633333333333333
234000		14.933333333333335
234900		15.233333333333334
235800		15.300000000000002
236700		15.300000000000002
237600		15.3
238500		15.4
239400		15.233333333333334
240300		15.066666666666668
241200		15.066666666666668
242100		15.1
243000		15.033333333333333
243900		14.800000000000002
244800		14.55
245700		14.4
246600		14.174999999999999
247500		14.0
248400		13.866666666666667
249300		13.633333333333333
250200		13.466666666666667
251100		13.333333333333334
252000		13.166666666666666
252900		13.033333333333333
253800		12.866666666666667
254700		12.800000000000002
255600		12.699999999999998
256500		12.666666666666666
257400		12.533333333333333
258300		12.433333333333332
259200		12.4
260100		12.4
261000		12.333333333333334
261900		12.300000000000002
262800		12.199999999999998
263700		12.166666666666666
264600		12.199999999999998
265500		12.199999999999998
266400		12.166666666666666
267300		12.066666666666668
268200		11.933333333333332
269100		11.766666666666666
270000		11.566666666666668
270900		11.433333333333332
271800		11.333333333333334
272700		11.199999999999998
273600		11.1
274500		11.0
275400		10.933333333333332
276300		10.833333333333334
277200		10.699999999999998
278100		10.6
279000		10.5
279900		10.4
280800		10.275
281700		10.2
282600		10.1
283500		10.1
284400		10.1
285300		10.1
286200		10.166666666666666
287100		10.366666666666667
288000		10.5
